词条	声调	词性	读音	中文释义	备注	例句	例句翻译	lesson	bucket
メール	⓪	名	mail	（电子）邮件		メールを送信する	发电子邮件	15	名词·IT通信
友達	⓪	名	ともだち	朋友		私には友達がたくさんいます	我有很多朋友	15	名词·人物职业
隣	⓪	名	となり	旁边；邻居		隣の席の人と話す	和旁边坐位上的人说话	15	名词·人物职业
家具	①	名	かぐ	家具		家具を設置する	摆设家具	15	名词·住宅设备
窓	①	名	まど	窗户		窓を開ける	打开窗户	15	名词·住宅设备
大学	⓪	名	だいがく	大学		娘は大学1年生です	女儿在读大一	15	名词·场所
教科書	③	名	きょうかしょ	教科书，课本		教科書を予習する	预习课本	15	名词·学习教育
一人	②	名	ひとり	一个人；独自		そこには私一人しかいなかった	那里只有我一个人	15	名词·抽象概念
最初	⓪	名	さいしょ	第一，开始，最初		最初に出会った人	初次见到的人	15	名词·抽象概念
荷物	①	名	にもつ	行李，货物		荷物を運ぶ	搬运行李	15	名词·抽象概念
